Account Name,Partnership Point of Contact,Partner Category,Partnership Development Stage,Products / Services,,Mixed Use Detail,Business Description
GoToMyApartment,,Website Agency,Profiling,Website Development,,,"Full stack digital marketing. Specializing in original content, branding, lead generation, social advertising."
Gryd,,Content; SightMap Consumer (SYN),Active,Website Development,,Build For Rent; Multi-family; Senior Living; Single-Family Homes; Student,"Vacancy Lists, 3D Matterport scanning, photography, videography, floor plans or virtual staging (loading furniture into un-staged 3D units) for Canadian Clients (QuadReal)"
Landlord Web Solutions,,Data Integration,Profiling,Website Development,,,
OneSeven Agency,,Website Agency,Profiling,Website Development,,Entertainment; Hospitality; Needs Audited; Retail,"We specialize in creating and executing comprehensive campaigns for restaurants, chef talent, hospitality, luxury real-estate, health & wellness, beauty, retail, nonprofit organizations, government agencies, entertainment, attractions, events and consumer"
PropMatic,Mark Schmulen,Fee Transparency; Promo/Marketing; SightMap REST API Consumer,Profiling,Website Development,,,"Our Solutions

Conversational Concierge
An AI-powered leasing assistant that lives on your website and delivers personalized experiences. It recommends units, answers questions with rich visuals, schedules tours, and creates detailed prospect profiles "
rezStream,Jeff Hebrink,Data Integration; Website Agency,Active,Website Development,,,"rezStream does everything for small hotels: data integrations for inventory, websites, business intelligence."
Rusty George Creative,,Website Agency,Profiling,Website Development,,Industrial; Infrastructure; Manufactured Housing,"A Well-Oiled Marketing Machine. We get you because those are the qualities that define us, too. So let’s partner to successfully market your business in a complex and constantly evolving B2B environment. As long as we both understand: there are no short"
"Tom, Dick and Harry Creative Agency",,Website Agency,Profiling,Website Development,,,Working directly with Mary and Bailey.
Unmaker Studio,,SightMap Consumer (SYN); Website Agency,Profiling,Website Development,,,
365 Connect,,Website Agency,Profiling,Website Development,,,"Transformative smart-tech solutions for rental housing. Services: theme gallery, imagery services, video marketing, creative services, implementation, integrations.
Unable to find email address other than support@365connect.com"
Bild & Company,,Unit Map Consumer (SYN),Profiling,Website Development,,Multi-family; Senior Living,"Bild & Co partners with seniors housing, active adult, and multi-family operators and investors to offer full-service, strategic support designed to accelerate operational and revenue performance: what we call Mission & Margin. With unparalleled expertise"
DCW Design,,Website Agency,Profiling,Website Development,,Affordable Housing; Entertainment; Hospitality; Office; Retail,"Specialize in branding for hospitality, real estate, luxury and retail brands across all mediums (print, digital + social). Working independently or with teams and agencies.
 
 
 
 Services: Branding/Brand Positioning, Art/Design Direction, Web/Interactiv"
Simply Styled Sites,,Website Agency,Profiling,Website Development,,Data Center; Infrastructure; Needs Audited; Office,"We provide simple to use, beautifully styled, modern websites to grow your business. We’re here to ease your mind, reduce stress, and increase your web presence through a collaborative learning process."
Weidert Group Inc,,Website Agency,Profiling,Website Development,,Needs Audited,"Weidert Group is a full-service inbound agency and HubSpot Diamond Partner focused on generating and closing leads for businesses in complex industries. Our expertise spans the complete range of services needed to execute a comprehensive, integrated inbou"
GRO,,Website Agency,Profiling,Website Development,,Data Center; Healthcare; Hospitality; Industrial; Multi-family; Needs Audited; Office; Retail; Student,"We are a team of marketers, strategists, and creatives collaborating to help growing businesses reach the next level. Whether you’re starting out or starting over, GRO has the experience, expertise and resources to help you get there."
Multi-Family Pro,,Website Agency,Profiling,Website Development,,,
REPLI,Vance Exstrom,Website Agency,Launch,Website Development,,,REPLI is a full-service property tech company that develops custom software solutions to multifamily organizations while also offering on-demand marketing services handled by our in-house agency team. Essentially a one-stop shop for multifamily apartment 
